ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16564162716,617,ESTOF VIERO ARTEMIS 3LUG 230CM VELUDO 31023 Veludo Marfim,un,9401.61.00,899,Ativo,0,"328,09",salvados,0,0.00,0.00,0.00,	,,,28.061.00,0,,0,	,,0,NÃO,NÃO,,Centímetro
16597980178,712,ESTOF VIERO JAGUAR 3LUG 200CM VELUDO 33723 Bombom,UN,,899,Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Metros
16570167371,626,FIXAÇÃO DO PAINEL,UN,,30,Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,,	,,,NÃO,NÃO,,Centímetro
16511766593,446,FRUTEIRA REGIA,UN,,249,Ativo,0,"128,33",FIORELLO,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16511767844,447,COR:BRANCO,UN,,249,Ativo,2,"128,33",FIORELLO,0,0.00,0.00,0.00,446,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16511767846,448,COR:FREIJO C/ BRANCO,UN,,249,Ativo,1,"128,33",FIORELLO,0,0.00,0.00,0.00,446,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16522653907,482,G  Roupa Evidencia Treviso 4 Pt 6gv,UN,,499,Ativo,0,"180,56",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16507389264,408,G Roupa Aramoveis Coimbra 3pt 2gv Cpes,UN,,399,Ativo,0,"111,97",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16538041999,551,G Roupa Aramoveis Coimbra 3pt 2gv Cpes (salvados),un,,399,Ativo,0,"111,97",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16525883391,497,G Roupa Araplac B234818 8pt C/Pes Salvados,UN,,999,Ativo,0,"298,07",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16539910628,555,G Roupa Atualle Vitoria 5pt 4gv C/Espelho,un,,549,Ativo,-2,"197,89",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
